3356,7511424.053,4692176.878,619.467
3357,7511392.374,4692184.299,619.842
3358,7511391.754,4692184.439,619.891
3359,7511391.774,4692184.439,619.842
3360,7511391.594,4692184.479,619.891
3361,7511374.173,4692189.119,621.745
3362,7511355.624,4692194.06,620.092
3363,7511353.224,4692194.68,620.092
3364,7511428.644,4692201.967,619.433
3365,7511393.554,4692203.268,0
3366,7511429.025,4692215.836,0
3367,7511431.165,4692215.906,619.478
3368,7511431.285,4692219.136,619.477
3369,7511395.695,4692224.427,0
3370,7511433.445,4692226.686,619.473
3371,7511378.237,4692229.515,0
3372,7511356.019,4692233.288,620.07
3373,7511356.846,4692244.708,619.968
3374,7511379.225,4692248.73,0
3375,7511437.466,4692250.214,619.52
3376,7511357.263,4692252.689,620.01
3377,7511438.476,4692258.633,619.468
3378,7511438.721,4692265.222,620.129
3379,7511400.437,4692266.385,0
3380,7511438.791,4692267.093,620.427
3381,7511400.879,4692270.864,0
3382,7511380.387,4692271.337,0
3383,7511380.571,4692273.572,0
3384,7511381.406,4692283.74,0
3385,7511359.038,4692286.715,619.955
3386,7511359.071,4692287.341,619.906
3387,7511442.748,4692290.682,620.403
3388,7511443.028,4692292.382,620.655
3389,7511359.3,4692292.47,619.971
3390,7511382.515,4692297.228,0
3391,7511403.728,4692299.743,0
3392,7511359.646,4692300.23,619.872
3393,7511448.198,4692314.281,621.778
3394,7511449.402,4692320.551,619.554
3395,7511461.72,4692321.41,619.37
3396,7511449.774,4692323.124,619.545
3397,7511443.84,4692323.97,619.581
3398,7511406.449,4692326.752,619.814
3399,7511413.215,4692328.402,619.768
3400,7511361.309,4692337.483,619.965
3401,7511385.763,4692343.498,0
3402,7511408.891,4692345.687,619.566
3403,7511415.525,4692346.315,619.413
3404,7511413.27,4692346.62,619.494
3405,7511362.31,4692346.913,619.993
3406,7511409.05,4692346.921,619.595
3407,7511409.07,4692347.101,619.601
3408,7511409.08,4692347.161,619.607
3409,7511386.288,4692348.444,0
3411,7511465.095,4692361.422,618.355
3412,7511456.97,4692362.448,619.418
3413,7511448.83,4692363.77,619.452
3414,7511443.74,4692364.599,619.544
3415,7511424.057,4692365.004,619.818
3416,7511415.47,4692365.18,619.942
3417,7511411.58,4692365.25,619.965
3418,7511410.53,4692365.425,620.021
3419,7511398.76,4692367.391,620.03
3420,7511365,4692372.242,620.055
3421,7511367.25,4692372.382,620.053
3426,7511461.386,4692318.821,619.451
